rms_real,rms_imag_folded,emt_real,emt_imag,distance
-2.111139588840342896e+01,0.000000000000000000e+00,-2.152596965073808022e+01,0.000000000000000000e+00,4.145737623346512635e-01
-2.373864866192723611e+01,4.089923540040393846e+01,-2.128533755378466097e+01,3.595687842016798186e+01,5.517755695336903798e+00
-2.373864866192723966e+01,-4.089923540040402372e+01,-2.128533755378466097e+01,-3.595687842016798186e+01,5.517755695336981070e+00
-2.639790714617553746e+01,7.315710279678276606e+01,-3.251690907934959540e+01,8.428866537505963663e+01,1.270251432167198402e+01
-2.639790714617554102e+01,-7.315710279678202710e+01,-3.251690907934959540e+01,-8.428866537505963663e+01,1.270251432167262884e+01
-3.155112371727514997e+01,0.000000000000000000e+00,-3.180022236445235606e+01,0.000000000000000000e+00,2.490986471772060895e-01
-4.008810813224130953e+01,0.000000000000000000e+00,-4.003604340782386828e+01,0.000000000000000000e+00,5.206472441744125490e-02
-5.469463240008790450e+01,-1.737395773378125341e-02,-5.466216286980568384e+01,-2.019980264167750908e-02,3.259226589532442792e-02
-5.469463240008790450e+01,1.737395773375283170e-02,-5.466216286980568384e+01,2.019980264167750908e-02,3.259226589532689122e-02
-5.749224147556904541e+01,-7.326075673136310229e+01,-5.653577539797822737e+01,-8.174359488002302498e+01,8.536590092884985381e+00
-5.749224147556904541e+01,7.326075673136384125e+01,-6.206986353557375224e+01,7.407915411672587425e+01,4.650204082038674080e+00
-6.676268864539619585e+01,0.000000000000000000e+00,-6.672569571816015355e+01,0.000000000000000000e+00,3.699292723604230559e-02
-1.008069603516091490e+02,0.000000000000000000e+00,-1.007155190228161956e+02,0.000000000000000000e+00,9.144132879295341354e-02
-1.038296340402869475e+02,1.337246553733335475e+02,-5.653577539797822737e+01,8.174359488002302498e+01,7.027616747723146773e+01
-1.038296340402869475e+02,-1.337246553733333769e+02,-2.771245845454369316e+01,-1.336616564815261086e+02,7.611720165646684677e+01
-1.314923476668440117e+02,-3.165280614308554163e+01,-1.275793624390970820e+02,-3.445542304742163964e+01,4.813119041228478778e+00
-1.314923476668440117e+02,3.165280614308491636e+01,-1.046674060867595131e+02,0.000000000000000000e+00,4.149069326375084898e+01
-1.352437100151269362e+02,3.318648756505703545e+01,-1.275793624390970820e+02,3.445542304742163964e+01,7.768682064842053592e+00
-1.352437100151269647e+02,-3.318648756505675124e+01,-1.262100871589811248e+02,-3.623176473924170438e+01,9.533103113608516921e+00
-1.552803119894250301e+02,9.702998744862910030e+01,-1.262100871589811248e+02,3.623176473924170438e+01,6.739066594353275264e+01
-1.552803119894250301e+02,-9.702998744862915714e+01,-6.206986353557375224e+01,-7.407915411672587425e+01,9.599441885649846995e+01
-2.443505992047009840e+02,2.112892757990800874e+01,-1.256009009257857514e+02,0.000000000000000000e+00,1.206147686728719037e+02
-2.443505992047009840e+02,-2.112892757990800874e+01,-1.099007790695403486e+02,0.000000000000000000e+00,1.360999107826821728e+02
-3.161212887674347485e+02,-7.092601791189309779e+00,-2.228145023400149398e+02,-5.783360793642825826e+01,1.062111392371031542e+02
-3.161212887674347485e+02,7.092601791188911875e+00,-2.228145023400149398e+02,5.783360793642825826e+01,1.062111392371033389e+02
-3.382034002072028329e+02,-3.254914629988630281e+01,-3.959783631541022828e+02,-3.808718686253560293e+01,5.803978150190740593e+01
-3.382034002072029466e+02,3.254914629988749653e+01,-3.959783631541022828e+02,3.808718686253560293e+01,5.803978150190717855e+01
-3.401171702059660902e+02,-1.424067768095108875e+02,-2.299494029928746670e+02,-1.291917283206207969e+02,1.109575343961896863e+02
-3.401171702059660902e+02,1.424067768095120812e+02,-2.299494029928746670e+02,1.291917283206207969e+02,1.109575343961898426e+02
-3.872733450129508697e+02,-1.237358904037822072e+01,-3.899848238227360184e+02,-3.208244285073985225e+01,1.989449762758838958e+01
-3.872733450129509265e+02,1.237358904037850493e+01,-3.899848238227360184e+02,3.208244285073985225e+01,1.989449762758809825e+01
-4.592075325168952418e+02,-8.304361278576263317e+01,-4.672040590518384988e+02,-9.559919823222070079e+01,1.488580406049203830e+01
-4.592075325168952418e+02,8.304361278576291738e+01,-4.672040590518384988e+02,9.559919823222070079e+01,1.488580406049180027e+01
-4.605164698123953713e+02,-5.694852476799619012e+01,-4.849792067254052768e+02,-6.045666959838997911e+01,2.471300421693315741e+01
-4.605164698123954281e+02,5.694852476799601959e+01,-4.849792067254052768e+02,6.045666959838997911e+01,2.471300421693312543e+01
-5.070209126357962646e+02,-1.191238532581917582e+02,-5.044034128557245822e+02,-5.689448024687974481e+01,6.228439748829303113e+01
-5.070209126357963214e+02,1.191238532581915877e+02,-5.044034128557245822e+02,5.689448024687974481e+01,6.228439748829286060e+01
-5.245097297527549927e+02,-5.251762611536017289e+01,-5.481682911920490824e+02,-5.479386419348970527e+00,5.265285864106770219e+01
-5.245097297527551063e+02,5.251762611536045711e+01,-5.481682911920490824e+02,5.479386419348970527e+00,5.265285864106790115e+01
-5.256328115485508761e+02,1.393141783654987478e+02,-6.047921489246241435e+02,8.577029883750563499e+01,9.556750351833633772e+01
-5.256328115485509898e+02,-1.393141783654984636e+02,-6.047921489246241435e+02,-8.577029883750563499e+01,9.556750351833609614e+01
-5.646307843714040473e+02,-7.978682292584713309e+01,-5.662316825617376708e+02,-4.389268380077231768e+01,3.592982185519488780e+01
-5.646307843714041610e+02,7.978682292584741731e+01,-5.662316825617376708e+02,4.389268380077231768e+01,3.592982185519516491e+01
-1.023134912268992480e+03,0.000000000000000000e+00,-1.032571551790960257e+03,0.000000000000000000e+00,9.436639521967777000e+00
-1.590820663743889327e+03,0.000000000000000000e+00,-1.635300567219409459e+03,0.000000000000000000e+00,4.447990347552013191e+01
-1.006157857455856356e+04,3.177067612637586080e+00,-1.779666177456719879e+03,0.000000000000000000e+00,8.281913006487560779e+03
-1.006157857455856538e+04,-3.177067612637586080e+00,-1.700692960419772135e+03,0.000000000000000000e+00,8.360886217768522329e+03
-2.991707980517045507e+04,0.000000000000000000e+00,-2.100680927513411916e+03,0.000000000000000000e+00,2.781639887765704407e+04
-6.995897059088644164e+04,0.000000000000000000e+00,-1.902020015186105184e+03,-1.840316241893471627e+01,6.805695306388396421e+04
-9.895987302451833966e+04,-3.389948487664639742e+00,-1.737851198055672057e+03,-1.179313773231269238e+02,9.722208929952136532e+04
-9.895987302451833966e+04,3.389948487664668164e+00,-1.773507408010651034e+03,1.570796326794896629e+02,9.718648713820523699e+04
-9.910383741066545190e+04,-3.062940629259003344e-01,-1.703226345908066833e+03,-2.572546994704855194e+01,9.740061438164874562e+04
-9.910383741066545190e+04,3.062940629259287562e-01,-1.703226345908066833e+03,2.572546994704855194e+01,9.740061438164874562e+04
-9.999999999999784632e+04,0.000000000000000000e+00,-1.699152588183797889e+03,8.107944769520619843e+01,9.830088084934734798e+04
-9.999999999999981083e+04,0.000000000000000000e+00,-1.717127832697928397e+03,9.629774680440242207e+01,9.828291934364914778e+04
-1.000000000000000000e+05,0.000000000000000000e+00,-1.717127832697928397e+03,-9.629774680440242207e+01,9.828291934364933695e+04
-1.000000000000005239e+05,0.000000000000000000e+00,-1.902020015186105184e+03,1.840316241893471627e+01,9.809798171102929336e+04
-1.000000000000017462e+05,0.000000000000000000e+00,-1.968447027741365901e+03,4.544287629866100531e+01,9.803156350486357405e+04
-1.000000000001832232e+05,0.000000000000000000e+00,-1.968447027741365901e+03,-4.544287629866100531e+01,9.803156350504505099e+04
-1.000000000565806840e+05,0.000000000000000000e+00,-1.737851198055672057e+03,1.179313773231269238e+02,9.826221962740657909e+04
-1.319463324386210879e+06,1.687439933482437482e-02,-2.047977094718220314e+03,1.570796326794896629e+02,1.317415356654033298e+06
-1.319463324386210879e+06,-1.687439933485279653e-02,-1.944013873626890700e+03,1.570796326794896629e+02,1.317519319878409617e+06
